F-020	forward	wrapper-branch	heap_scanrange_to_following	heap_get_visible_version	CONSUME_RAW_BYTES	heap_scanrange_to_following(start_oid!=NULL,!ISNULL)->heap_get_visible_version	(local recdes discarded)	position scanrange at given start object	full (expand triggered) but recdes never read	yes	OVER_EXPAND	DONT_CONSUME (recdes unused; positioning only)	CONSUME_RAW_BYTES	OVER_EXPAND	heap_file.c:8368-8370 heap_get_visible_version(...,HEAP_RECDES_CONSUME_RAW_BYTES); local RECDES recdes 8342 only used for scan-code; sole caller passes NULL (scan_manager.c:5053) so branch is unreachable	none	FIND-02	dead+wasteful: caller only ever passes start_oid=NULL; also recdes is discarded
F-021	forward	wrapper-branch	heap_scanrange_to_following	heap_next	DONT_CONSUME_RAW_BYTES	heap_scanrange_to_following->heap_next	(local recdes discarded)	advance to next object when start not found / NULL	positioning only	yes	NO_BODY	DONT_CONSUME	DONT_CONSUME	CORRECT	heap_file.c:8377-8378 and 8399-8400 heap_next(...,DONT)	none	-	matches the discarded-recdes positioning use
F-022	forward	wrapper-branch	heap_scanrange_to_prior	heap_get_visible_version	CONSUME_RAW_BYTES	heap_scanrange_to_prior(last_oid!=NULL,!ISNULL)->heap_get_visible_version	(local recdes discarded)	position scanrange at given last object	full (expand) but recdes never read	yes	OVER_EXPAND	DONT_CONSUME	CONSUME_RAW_BYTES	OVER_EXPAND	heap_file.c:8479-8481 heap_get_visible_version(...,CONSUME_RAW_BYTES); local RECDES recdes 8454; sole caller passes NULL (scan_manager.c:5057) so unreachable	none	FIND-02	dead+wasteful, mirrors F-020
F-023	forward	wrapper-branch	heap_scanrange_to_prior	heap_prev	DONT_CONSUME_RAW_BYTES	heap_scanrange_to_prior->heap_prev	(local recdes discarded)	step to prior object	positioning only	yes	NO_BODY	DONT_CONSUME	DONT_CONSUME	CORRECT	heap_file.c:8487-8489 and 8505-8507 heap_prev(...,DONT)	none	-	-
F-024	forward	wrapper-branch	heap_scanrange_next	heap_get_visible_version	CONSUME_RAW_BYTES	heap_scanrange_next->heap_get_visible_version -> caller scan_manager.c:5916	eval_data_filter -> heap_attrinfo_read_dbvalues (attr layer)	fetch first object of grouped scanrange	full (expand) but consumer uses attribute layer	yes	OVER_EXPAND	DONT_CONSUME (consumer resolves per attribute, like the heap_next fallback in same fn)	CONSUME_RAW_BYTES	OVER_EXPAND	heap_file.c:8577-8579 heap_get_visible_version(...,CONSUME_RAW_BYTES); returned recdes flows to scan_manager.c:5916->eval_data_filter 5971 (attr layer); note sibling heap_next at 8584/8605 uses DONT	none	FIND-01	reachable (grouped heap scan); inconsistent with DONT used elsewhere in same fn -> unnecessary Expand on every grouped-scan block start
F-025	forward	wrapper-branch	heap_scanrange_next	heap_next	DONT_CONSUME_RAW_BYTES	heap_scanrange_next->heap_next	eval_data_filter (attr layer) via scan_manager.c:5916	fetch subsequent objects of grouped scanrange	attribute layer	yes	RESOLVE	DONT_CONSUME	DONT_CONSUME	CORRECT	heap_file.c:8583-8584 and 8603-8605 heap_next(...,DONT)	none	-	this is the correct policy that 8579 should also use
F-026	forward	wrapper-caller	tde_get_keyinfo	heap_first	DONT_CONSUME_RAW_BYTES	heap_first->heap_next->...	memcpy(keyinfo, recdes_buffer+sizeof(int), sizeof(TDE_KEYINFO))	copy TDE keyinfo struct out of record body	full body (raw memcpy)	no (tde keyinfo heap: NULL class_oid, no class repr, record written as raw fixed struct via tde_insert_keyinfo)	STORED_SAFE	stored form (no OOS possible)	DONT_CONSUME (via heap_first)	CORRECT	tde.c:588 heap_first(&tde_Keyinfo_hfid,NULL,...,COPY); memcpy of body tde.c:600	none	-	raw consumer but record can never carry OOS stubs (no attribute layout)
F-027	forward	wrapper-caller	boot_get_db_parm	heap_first	DONT_CONSUME_RAW_BYTES	heap_first->heap_next->...	recdes.data==dbparm struct read as raw bytes	load boot_Db_parm struct from its record	full body (raw struct)	no (boot db parm heap: NULL class, fixed struct, no attribute layout)	STORED_SAFE	stored form (no OOS possible)	DONT_CONSUME	CORRECT	boot_sr.c:310 heap_first(&boot_Db_parm->hfid,NULL,dbparm_oid,&recdes COPY); recdes.data=(char*)dbparm 307	none	-	raw consumer but non-OOS-capable
F-028	forward	wrapper-caller	find_row_by_gtrid_bqual	heap_first	DONT_CONSUME_RAW_BYTES	heap_first->heap_next->...	heap_attrinfo_read_dbvalues	scan dblink global-tran catalog by gtrid/bqual	attribute layer	yes	RESOLVE	stored form; attr layer resolves	DONT_CONSUME	CORRECT	dblink_global_tran_catalog.c:212 heap_first; heap_attrinfo_read_dbvalues 215	none	-	-
F-029	forward	wrapper-caller	dblink_global_tran_update_state	heap_first	DONT_CONSUME_RAW_BYTES	heap_first->heap_next->...	heap_attrinfo_read_dbvalues	scan dblink global-tran catalog rows	attribute layer	yes	RESOLVE	stored form	DONT_CONSUME	CORRECT	dblink_global_tran_catalog.c:444 heap_first; heap_attrinfo_read_dbvalues 446	none	-	conn_url/user/password are variable string attrs (OOS-eligible) but read via attr layer
F-030	forward	wrapper-caller	px_scan_slot_iterator::next	heap_next_1page	DONT_CONSUME_RAW_BYTES	heap_next_1page->heap_scan_get_visible_version->...	eval_data_filter / attr-layer read (mirrors executor)	parallel heap scan row fetch	attribute layer	yes	RESOLVE	stored form	DONT_CONSUME	CORRECT	px_scan_slot_iterator.cpp:106 heap_next_1page(PEEK); recdes consumed by predicate/attr-layer downstream (mirrors scan_next_scan)	none	-	-
F-031	forward	wrapper-caller	histogram_sampler input_handler_heap	heap_next_1page	DONT_CONSUME_RAW_BYTES	heap_next_1page->...	heap_attrinfo_read_dbvalues	sample rows for histogram stats	attribute layer	yes	RESOLVE	stored form	DONT_CONSUME	CORRECT	histogram_sampler_sr.cpp:762 heap_next_1page; heap_attrinfo_read_dbvalues 768	none	-	-
F-032	forward	wrapper-caller	histogram_sampler (2nd handler)	heap_next_1page	DONT_CONSUME_RAW_BYTES	heap_next_1page->...	heap_attrinfo_read_dbvalues	sample rows (per-column collector)	attribute layer	yes	RESOLVE	stored form	DONT_CONSUME	CORRECT	histogram_sampler_sr.cpp:1132 heap_next_1page; heap_attrinfo_read_dbvalues nearby	none	-	-
F-033	forward	wrapper-caller	btree_load slot iterator	heap_next_1page	DONT_CONSUME_RAW_BYTES	heap_next_1page->...	or_mvcc_get_header + attr-layer key extraction (heap_midxkey/attr)	read heap rows to build btree keys during index load	header (MVCC) + attribute layer	yes	RESOLVE	stored form; header + attr layer	DONT_CONSUME	CORRECT	btree_load.c:3424 heap_next_1page; in_recdes consumed via or_mvcc_get_header 3518 and attr-layer key build 3538/3566	none	-	-
F-034	forward	wrapper-caller	scan_next_scan_block (grouped fwd)	heap_scanrange_to_following	(branch policy internal)	scan_next_scan_block->heap_scanrange_to_following(NULL)	(positions range; recdes discarded)	position grouped scan block forward	positioning only (start_oid=NULL)	yes	NO_BODY	positioning only	DONT branch taken (CONSUME branch unreachable)	CORRECT	scan_manager.c:5053 heap_scanrange_to_following(...,NULL); NULL forces heap_next(DONT) path 8399-8400	none	-	confirms F-020 CONSUME branch is unreachable in production
F-035	forward	wrapper-caller	scan_next_scan_block (grouped bwd)	heap_scanrange_to_prior	(branch policy internal)	scan_next_scan_block->heap_scanrange_to_prior(NULL)	(positions range; recdes discarded)	position grouped scan block backward	positioning only (last_oid=NULL)	yes	NO_BODY	positioning only	DONT branch taken	CORRECT	scan_manager.c:5057 heap_scanrange_to_prior(...,NULL)	none	-	confirms F-022 CONSUME branch unreachable
F-036	forward	wrapper-caller	scan_next_scan (grouped)	heap_scanrange_next	CONSUME(first)/DONT(rest) internal	scan_next_scan->heap_scanrange_next	eval_data_filter->heap_attrinfo_read_dbvalues (attr layer)	grouped heap scan row fetch + predicate eval	attribute layer	yes	RESOLVE	DONT_CONSUME (attr layer)	first obj CONSUME (over-expand), rest DONT	OVER_EXPAND	scan_manager.c:5916 heap_scanrange_next; recdes->eval_data_filter 5971; wrapper first-object fetch uses CONSUME at heap_file.c:8579	none	FIND-01	functionally correct; wasteful expand only on first object of each grouped block
F-037	forward	wrapper-caller	scan_next_scan (record-info fwd)	heap_next_record_info	DONT_CONSUME_RAW_BYTES	heap_next_record_info->heap_next_internal->heap_get_record_info	or_rep_id/or_chn/or_mvcc_get_header (header) + eval_data_filter (attr layer)	record-info scan	header/CHN/MVCC + attribute layer	yes	STORED_SAFE	stored form (header-only in get_record_info)	DONT_CONSUME	CORRECT	scan_manager.c:5934 heap_next_record_info; heap_get_record_info reads only header/CHN/repid/MVCC heap_file.c:19881-19893	none	-	get_record_info never parses variable area / OOS stubs
F-038	forward	wrapper-caller	scan_next_scan (record-info bwd)	heap_prev_record_info	DONT_CONSUME_RAW_BYTES	heap_prev_record_info->heap_next_internal->heap_get_record_info	header fields + eval_data_filter	backward record-info scan	header + attribute layer	yes	STORED_SAFE	stored form	DONT_CONSUME	CORRECT	scan_manager.c:5951 heap_prev_record_info; same get_record_info header reads	none	-	-
F-039	forward	wrapper-caller	or_get_referenced_class(object_representation_sr)	heap_get_class_record	DONT_CONSUME_RAW_BYTES	heap_get_class_record->heap_get_last_version->...	or_get_classrep (raw OR parse of class-object variable area)	parse class representation from class-object record	full/variable (raw or_ parse)	yes (class objects not excluded from OOS demotion gate)	EXPAND	CONSUME_RAW_BYTES if class objects can carry OOS stubs	DONT_CONSUME (wrapper hardcoded)	CONTRACT_GAP	object_representation_sr.c:949 heap_get_class_record(COPY); or_get_classrep(&record,...) 953; wrapper fixes DONT at heap_file.c:26850	none	FIND-03	hand to reverse audit: confirm whether root/class objects ever exceed OOS target with >16B variable value
F-040	forward	wrapper-caller	catalog_class readers	heap_get_class_record	DONT_CONSUME_RAW_BYTES	heap_get_class_record->heap_get_last_version->...	catalog construction reads class record (or_/orc_ raw)	build/read disk catalog from class object	variable (raw or_)	yes	EXPAND(likely)	CONSUME if class objects OOS-capable	DONT_CONSUME	FOLLOWUP	catalog_class.c:4800,4927,5376,5613 heap_get_class_record(PEEK); consumers parse class record via or_	none	FIND-03	group row; reverse audit to trace each or_ read + class-object OOS reachability
F-041	forward	wrapper-caller	btree class-rep reader	heap_get_class_record	DONT_CONSUME_RAW_BYTES	heap_get_class_record->heap_get_last_version->...	or_get_classrep (raw)	read class rep to locate btree index	variable (raw or_)	yes	EXPAND(likely)	CONSUME if class objects OOS-capable	DONT_CONSUME	FOLLOWUP	btree.c:21593 heap_get_class_record(COPY); or_get_classrep downstream	none	FIND-03	-
F-042	forward	wrapper-caller	other heap_get_class_record callers	heap_get_class_record	DONT_CONSUME_RAW_BYTES	heap_get_class_record->heap_get_last_version->...	mixed: or_ raw parse and/or attribute layer	various class-object reads	mixed	yes	FOLLOWUP	per-caller	DONT_CONSUME	FOLLOWUP	callers: locator_sr.c:5577/10686/10707/10810/10990, query_executor.c:24581/25522, query_opfunc.c:8913, system_catalog.c:1891/5765, serial.c:1223, sp_code.cpp:203, connection_support.cpp:2396, file_manager.c:11293, boot_sr.c:3647, load_server_loader.cpp:390	none	FIND-03	full list handed to reverse audit (raw-consumer sweep)
F-043	forward	plumbing	heap_get_bigone_content	(none - overflow content)	n/a (no OOS)	heap_get_record_data_when_all_ready(REC_BIGONE)->heap_get_bigone_content	heap_ovf_get	fetch multipage overflow record content	full overflow content	no (OOS+bigone rejected at write, CBRD-26937)	EXCLUDED	n/a	no expand	EXCLUDED	heap_file.c:20172 heap_get_bigone_content; called at 7463 for REC_BIGONE; no heap_record_replace_oos_oids	none	-	a REC_BIGONE never contains OOS inline stubs by the write-time rejection rule
